  batch      l2_tst    l2_trn     l2_etst   l2_etrn     l2_ftst   l2_ftrn         lr
 241000    6.80e+00  6.56e+00    3.26e-02  3.26e-02    2.47e-01  2.38e-01    3.8e-03
 242000    2.75e+01  2.65e+01    2.09e-02  2.26e-02    9.99e-01  9.62e-01    3.8e-03
 243000    2.75e+01  2.67e+01    4.22e-02  4.11e-02    9.99e-01  9.69e-01    3.8e-03
 244000    2.75e+01  2.69e+01    1.22e-02  1.12e-02    9.99e-01  9.76e-01    3.8e-03
 245000    2.53e+00  2.33e+00    4.52e-02  4.53e-02    9.18e-02  8.44e-02    3.8e-03
 246000    6.70e+00  6.20e+00    7.96e-03  7.59e-03    2.43e-01  2.25e-01    3.8e-03
 247000    9.64e+00  9.11e+00    1.07e-02  8.96e-03    3.50e-01  3.31e-01    3.8e-03
 248000    4.16e+00  2.82e+00    7.30e-03  7.37e-03    1.51e-01  1.02e-01    3.8e-03
 249000    1.04e+01  8.71e+00    3.77e-01  3.77e-01    3.76e-01  3.15e-01    3.8e-03
 250000    6.27e+00  7.56e+00    3.24e-03  4.51e-03    2.29e-01  2.76e-01    3.7e-03
 251000    8.92e+00  1.18e+01    9.94e-02  9.96e-02    3.25e-01  4.29e-01    3.7e-03
 252000    7.74e+00  8.22e+00    6.00e-02  6.08e-02    2.83e-01  3.00e-01    3.7e-03
 253000    4.24e+00  4.55e+00    1.13e-03  9.03e-04    1.55e-01  1.66e-01    3.7e-03
 254000    4.64e+00  3.68e+00    1.36e-02  1.37e-02    1.69e-01  1.34e-01    3.7e-03
 255000    1.12e+01  1.15e+01    8.56e-03  7.94e-03    4.08e-01  4.21e-01    3.7e-03
 256000    1.51e+01  1.39e+01    3.36e-02  3.18e-02    5.51e-01  5.08e-01    3.7e-03
 257000    2.74e+01  2.59e+01    1.31e-02  1.36e-02    9.99e-01  9.45e-01    3.7e-03
